ID,Title,Acceptance,Difficulty,Locked
1,Two Sum,45.1%,Easy,False
2,Add Two Numbers,32.7%,Medium,False
3,Longest Substring Without Repeating Characters,29.5%,Medium,False
4,Median of Two Sorted Arrays,28.3%,Hard,False
5,Longest Palindromic Substring,28.7%,Medium,False
6,ZigZag Conversion,34.6%,Medium,False
7,Reverse Integer,25.6%,Easy,False
8,String to Integer (atoi),15.0%,Medium,False
9,Palindrome Number,46.6%,Easy,False
10,Regular Expression Matching,26.2%,Hard,False
11,Container With Most Water,48.7%,Medium,False
12,Integer to Roman,53.5%,Medium,False
13,Roman to Integer,54.4%,Easy,False
14,Longest Common Prefix,34.7%,Easy,False
15,3Sum,25.7%,Medium,False
16,3Sum Closest,45.7%,Medium,False
17,Letter Combinations of a Phone Number,44.7%,Medium,False
18,4Sum,32.4%,Medium,False
19,Remove Nth Node From End of List,34.8%,Medium,False
20,Valid Parentheses,38.0%,Easy,False
21,Merge Two Sorted Lists,51.2%,Easy,False
22,Generate Parentheses,59.6%,Medium,False
23,Merge k Sorted Lists,38.0%,Hard,False
24,Swap Nodes in Pairs,48.1%,Medium,False
25,Reverse Nodes in k-Group,39.5%,Hard,False
26,Remove Duplicates from Sorted Array,43.3%,Easy,False
27,Remove Element,46.8%,Easy,False
28,Implement strStr(),33.7%,Easy,False
29,Divide Two Integers,16.2%,Medium,False
30,Substring with Concatenation of All Words,24.7%,Hard,False
31,Next Permutation,31.7%,Medium,False
32,Longest Valid Parentheses,27.3%,Hard,False
33,Search in Rotated Sorted Array,33.6%,Medium,False
34,Find First and Last Position of Element in Sorted Array,35.0%,Medium,False
35,Search Insert Position,41.4%,Easy,False
36,Valid Sudoku,46.5%,Medium,False
37,Sudoku Solver,40.7%,Hard,False
38,Count and Say,42.9%,Easy,False
39,Combination Sum,53.1%,Medium,False
40,Combination Sum II,45.4%,Medium,False
41,First Missing Positive,30.7%,Hard,False
42,Trapping Rain Water,46.7%,Hard,False
